der Hund,the dog,Animals
die Katze,the cat,Animals
die Maus,the mouse,Animals
der Fisch,the fish,Animals
die Schlange,the snake,Animals
das Kaninchen,the rabbit,Animals
das Schwein,the pig,Animals
die Kuh,the cow,Animals
das Pferd,the horse,Animals
der Esel,the donkey,Animals
der Vogel,the bird,Animals
die Giraffe,the giraffe,Animals
der Schmetterling,the butterfly,Animals
der Käfer,the beetle,Animals
der Löwe,the lion,Animals
der Gepard,the cheetah,Animals
das Nilpferd,the hippo,Animals
das Huhn,the chicken,Animals
das Schaf,the sheep,Animals
das Zebra,the zebra,Animals
der Adler,the eagle,Animals
das Reh,the deer,Animals
das Tier,the animal,Animals
die Tiere,the animals,Animals
der Rücken,the back,Body
der Fontäne,the fontaine,Object
die Blase,the bubble,Object
die Kette,the chain,Object
der Teppich,the carpet,House
der Flügel,the wing,Animals
der Fuchs,the fox,Animals
der Verein,the club,Organisation
der Stoßzahn,the tusk,Animals
der Rüssel,the trunk,Animals
das Ferkel,the piglet,Animals
das Stück,the piece,Object
der Mannschaft,the team,Organisation
der Kegel,the skittle,Object
die Stimme,the voice,Body
das Gift,the poison,Object
das Seil,the rope,Object
die Schaufel,the shovel,Object
die Klinge,the blade,Object
der Spitzer,the peak,Outdoors
die Trommel,the drum,Music
die Geige,the violin,Music	
das Klavier,the piano,Music
die Saite,the string,Object
die Baustelle,the building site,Outdoors
der Teig,the dough,Food
das Blech,the baking sheet,Food
der Senf,the mustard,Food
der Herd,the stove,Food
der Topf,the pot,Food
die Grube,the pit/hole,Outdoors
das Fischstäbchen,the fish finger,Food
das Gewitter,the storm,Outdoors
die Pflaume,the plum,Food
die Pappe,the cardboard,Object
das Hemd,the shirt,Clothes
die Wunde,the wound,Body
der Tannenbaum,the fir tree,Outdoors
der Ranzen,the school bag,Object
der Anzug,the suit (clothes),Clothes
der Edelstein,the gem,Object
der Taucher,the diver,Person
die Gestalt,the shape,Object
der Käfig,the cage,Animals
der Gegenstand,the object,Object
der Staubsauger,the vacuum cleaner,House
der Verkehr,the traffic,Outdoors
die Szene,the scene,Outdoors
der Müll,the rubbish,House
die Zange,the pliers,House
das Werkzeug,the tool,House
der Schuppen,the shed,House
der Umhang,the cape,Clothes
die Fabrik,the factory,Outdoors
die Säge,the saw,House
der Hammer,the hammer,House
